,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,
0,2005-08-14,,Premier League,Matchweek 1,Sun,Away,W,1,0,Wigan Athletic,,23909,,,Mark Clattenburg,Match Report,,2005-2006,2005-2006,2005-2006,,
1,2005-08-21,,Premier League,Matchweek 2,Sun,Home,W,1,0,Arsenal,,42135,,,Graham Poll,Match Report,,2005-2006,2005-2006,2005-2006,,
2,2005-08-24,,Premier League,Matchweek 3,Wed,Home,W,4,0,West Brom,,41218,,,Mark Halsey,Match Report,,2005-2006,2005-2006,2005-2006,,
3,2005-08-27,,Premier League,Matchweek 4,Sat,Away,W,2,0,Tottenham,,36077,,,Rob Styles,Match Report,,2005-2006,2005-2006,2005-2006,,
4,2005-09-10,,Premier League,Matchweek 5,Sat,Home,W,2,0,Sunderland,,41916,,,Mike Dean,Match Report,,2005-2006,2005-2006,2005-2006,,
5,2005-09-13,,Champions Lg,Group stage,Tue,Home,W,1,0,be Anderlecht,,,,,Wolfgang Stark,Match Report,,2005-2006,2005-2006,2005-2006,,
6,2005-09-17,,Premier League,Matchweek 6,Sat,Away,W,2,0,Charlton Ath,,27111,,,Howard Webb,Match Report,,2005-2006,2005-2006,2005-2006,,
7,2005-09-24,,Premier League,Matchweek 7,Sat,Home,W,2,1,Aston Villa,,42023,,,Barry Knight,Match Report,,2005-2006,2005-2006,2005-2006,,
8,2005-09-28,,Champions Lg,Group stage,Wed,Away,D,0,0,eng Liverpool,,,,,Massimo De Santis,Match Report,,2005-2006,2005-2006,2005-2006,,
9,2005-10-02,,Premier League,Matchweek 8,Sun,Away,W,4,1,Liverpool,,45022,,,Graham Poll,Match Report,,2005-2006,2005-2006,2005-2006,,
10,2005-10-15,,Premier League,Matchweek 9,Sat,Home,W,5,1,Bolton,,41758,,,Rob Styles,Match Report,,2005-2006,2005-2006,2005-2006,,
11,2005-10-19,,Champions Lg,Group stage,Wed,Home,W,4,0,es Betis,,,,,Terje Hauge,Match Report,,2005-2006,2005-2006,2005-2006,,
12,2005-10-23,,Premier League,Matchweek 10,Sun,Away,D,1,1,Everton,,36042,,,Mark Clattenburg,Match Report,,2005-2006,2005-2006,2005-2006,,
13,2005-10-29,,Premier League,Matchweek 11,Sat,Home,W,4,2,Blackburn,,41463,,,Mike Riley,Match Report,,2005-2006,2005-2006,2005-2006,,
14,2005-11-01,,Champions Lg,Group stage,Tue,Away,L,0,1,es Betis,,,,,Alain Hamer,Match Report,,2005-2006,2005-2006,2005-2006,,
15,2005-11-06,,Premier League,Matchweek 12,Sun,Away,L,0,1,Manchester Utd,,67864,,,Graham Poll,Match Report,,2005-2006,2005-2006,2005-2006,,
16,2005-11-19,,Premier League,Matchweek 13,Sat,Home,W,3,0,Newcastle Utd,,42198,,,Mark Halsey,Match Report,,2005-2006,2005-2006,2005-2006,,
17,2005-11-23,,Champions Lg,Group stage,Wed,Away,W,2,0,be Anderlecht,,,,,Stefano Farina,Match Report,,2005-2006,2005-2006,2005-2006,,
18,2005-11-26,,Premier League,Matchweek 14,Sat,Away,W,2,0,Portsmouth,,20182,,,Phil Dowd,Match Report,,2005-2006,2005-2006,2005-2006,,
19,2005-12-03,,Premier League,Matchweek 15,Sat,Home,W,1,0,Middlesbrough,,41692,,,Mike Riley,Match Report,,2005-2006,2005-2006,2005-2006,,
20,2005-12-06,,Champions Lg,Group stage,Tue,Home,D,0,0,eng Liverpool,,,,,Herbert Fandel,Match Report,,2005-2006,2005-2006,2005-2006,,
21,2005-12-10,,Premier League,Matchweek 16,Sat,Home,W,1,0,Wigan Athletic,,42088,,,Howard Webb,Match Report,,2005-2006,2005-2006,2005-2006,,
22,2005-12-18,,Premier League,Matchweek 17,Sun,Away,W,2,0,Arsenal,,38347,,,Rob Styles,Match Report,,2005-2006,2005-2006,2005-2006,,
23,2005-12-26,,Premier League,Matchweek 18,Mon,Home,W,3,2,Fulham,,42117,,,Graham Poll,Match Report,,2005-2006,2005-2006,2005-2006,,
24,2005-12-28,,Premier League,Matchweek 19,Wed,Away,W,1,0,Manchester City,,46587,,,Uriah Rennie,Match Report,,2005-2006,2005-2006,2005-2006,,
25,2005-12-31,,Premier League,Matchweek 20,Sat,Home,W,2,0,Birmingham City,,40722,,,Mike Dean,Match Report,,2005-2006,2005-2006,2005-2006,,
26,2006-01-02,,Premier League,Matchweek 21,Mon,Away,W,3,1,West Ham,,34462,,,Chris Foy,Match Report,,2005-2006,2005-2006,2005-2006,,
27,2006-01-15,,Premier League,Matchweek 22,Sun,Away,W,2,1,Sunderland,,32420,,,Chris Foy,Match Report,,2005-2006,2005-2006,2005-2006,,
28,2006-01-22,,Premier League,Matchweek 23,Sun,Home,D,1,1,Charlton Ath,,41369,,,Stephen Bennett,Match Report,,2005-2006,2005-2006,2005-2006,,
29,2006-02-01,,Premier League,Matchweek 24,Wed,Away,D,1,1,Aston Villa,,38562,,,Rob Styles,Match Report,,2005-2006,2005-2006,2005-2006,,
30,2006-02-05,,Premier League,Matchweek 25,Sun,Home,W,2,0,Liverpool,,42185,,,Alan Wiley,Match Report,,2005-2006,2005-2006,2005-2006,,
31,2006-02-11,,Premier League,Matchweek 26,Sat,Away,L,0,3,Middlesbrough,,31037,,,Stephen Bennett,Match Report,,2005-2006,2005-2006,2005-2006,,
32,2006-02-22,,Champions Lg,Round of 16,Wed,Home,L,1,2,es Barcelona,,,,,Terje Hauge,Match Report,Leg 1 of 2,2005-2006,2005-2006,2005-2006,,
