,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2004-08-14,,Premier League,Matchweek 1,Sat,Away,D,1,1,Norwich City,,"23,717",,,Peter Walton,Match Report,,2004-2005,2004-2005,2004-2005
1,2004-08-21,,Premier League,Matchweek 2,Sat,Home,L,1,3,Everton,,"25,708",,,Mark Clattenburg,Match Report,,2004-2005,2004-2005,2004-2005
2,2004-08-24,,Premier League,Matchweek 3,Tue,Home,L,0,2,Chelsea,,"24,493",,,Chris Foy,Match Report,,2004-2005,2004-2005,2004-2005
3,2004-08-28,,Premier League,Matchweek 4,Sat,Away,L,1,2,Middlesbrough,,"31,560",,,Mike Dean,Match Report,,2004-2005,2004-2005,2004-2005
4,2004-09-11,,Premier League,Matchweek 5,Sat,Away,L,1,3,Portsmouth,,"20,019",,,Phil Dowd,Match Report,,2004-2005,2004-2005,2004-2005
5,2004-09-18,,Premier League,Matchweek 6,Sat,Home,L,1,2,Manchester City,,"25,052",,,Martin Atkinson,Match Report,,2004-2005,2004-2005,2004-2005
6,2004-09-25,,Premier League,Matchweek 7,Sat,Away,D,1,1,Aston Villa,,"34,843",,,Mark Clattenburg,Match Report,,2004-2005,2004-2005,2004-2005
7,2004-10-04,,Premier League,Matchweek 8,Mon,Home,W,2,0,Fulham,,"21,825",,,Mike Riley,Match Report,,2004-2005,2004-2005,2004-2005
8,2004-10-16,,Premier League,Matchweek 9,Sat,Away,L,0,1,Bolton,,"25,501",,,Neale Barry,Match Report,,2004-2005,2004-2005,2004-2005
9,2004-10-23,,Premier League,Matchweek 10,Sat,Home,W,3,0,West Brom,,"22,922",,,Matt Messias,Match Report,,2004-2005,2004-2005,2004-2005
10,2004-10-30,,Premier League,Matchweek 11,Sat,Away,W,1,0,Birmingham City,,"28,916",,,Dermot Gallagher,Match Report,,2004-2005,2004-2005,2004-2005
11,2004-11-06,,Premier League,Matchweek 12,Sat,Home,D,1,1,Arsenal,,"26,193",,,Mike Dean,Match Report,,2004-2005,2004-2005,2004-2005
12,2004-11-13,,Premier League,Matchweek 13,Sat,Away,L,2,3,Liverpool,,"42,862",,,Phil Dowd,Match Report,,2004-2005,2004-2005,2004-2005
13,2004-11-20,,Premier League,Matchweek 14,Sat,Home,L,0,2,Newcastle Utd,,"22,937",,,Mark Halsey,Match Report,,2004-2005,2004-2005,2004-2005
14,2004-11-27,,Premier League,Matchweek 15,Sat,Away,D,2,2,Southampton,,"31,833",,,Peter Walton,Match Report,,2004-2005,2004-2005,2004-2005
15,2004-12-05,,Premier League,Matchweek 16,Sun,Home,L,0,1,Charlton Ath,,"20,705",,,Matt Messias,Match Report,,2004-2005,2004-2005,2004-2005
16,2004-12-11,,Premier League,Matchweek 17,Sat,Home,D,0,0,Blackburn,,"22,010",,,Alan Wiley,Match Report,,2004-2005,2004-2005,2004-2005
17,2004-12-18,,Premier League,Matchweek 18,Sat,Away,L,2,5,Manchester Utd,,"67,814",,,Steve Dunn,Match Report,,2004-2005,2004-2005,2004-2005
18,2004-12-26,,Premier League,Matchweek 19,Sun,Home,L,0,1,Portsmouth,,"25,238",,,Neale Barry,Match Report,,2004-2005,2004-2005,2004-2005
19,2004-12-28,,Premier League,Matchweek 20,Tue,Away,D,1,1,Tottenham,,"36,106",,,Uriah Rennie,Match Report,,2004-2005,2004-2005,2004-2005
20,2005-01-01,,Premier League,Matchweek 21,Sat,Away,L,1,3,Fulham,,"18,680",,,Dermot Gallagher,Match Report,,2004-2005,2004-2005,2004-2005
21,2005-01-03,,Premier League,Matchweek 22,Mon,Home,W,2,0,Aston Villa,,"24,140",,,Andy D'Urso,Match Report,,2004-2005,2004-2005,2004-2005
22,2005-01-15,,Premier League,Matchweek 23,Sat,Away,L,1,3,Manchester City,,"44,010",,,Andre Marriner,Match Report,,2004-2005,2004-2005,2004-2005
23,2005-01-22,,Premier League,Matchweek 24,Sat,Home,W,3,0,Tottenham,,"23,723",,,Chris Foy,Match Report,,2004-2005,2004-2005,2004-2005
24,2005-02-01,,Premier League,Matchweek 25,Tue,Away,D,2,2,West Brom,,"27,997",,,Dermot Gallagher,Match Report,,2004-2005,2004-2005,2004-2005
25,2005-02-05,,Premier League,Matchweek 26,Sat,Home,L,0,1,Bolton,,"23,163",,,Graham Poll,Match Report,,2004-2005,2004-2005,2004-2005
26,2005-02-14,,Premier League,Matchweek 27,Mon,Away,L,1,5,Arsenal,,"38,056",,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005
27,2005-02-26,,Premier League,Matchweek 28,Sat,Home,W,2,0,Birmingham City,,"23,376",,,Phil Dowd,Match Report,,2004-2005,2004-2005,2004-2005
28,2005-03-05,,Premier League,Matchweek 29,Sat,Home,D,0,0,Manchester Utd,,"26,021",,,Mark Clattenburg,Match Report,,2004-2005,2004-2005,2004-2005
29,2005-03-19,,Premier League,Matchweek 30,Sat,Away,L,1,4,Chelsea,,"41,678",,,Phil Dowd,Match Report,,2004-2005,2004-2005,2004-2005
30,2005-04-02,,Premier League,Matchweek 31,Sat,Home,L,0,1,Middlesbrough,,"24,274",,,Steve Dunn,Match Report,,2004-2005,2004-2005,2004-2005
31,2005-04-10,,Premier League,Matchweek 32,Sun,Away,L,0,4,Everton,,"36,519",,,Uriah Rennie,Match Report,,2004-2005,2004-2005,2004-2005
32,2005-04-16,,Premier League,Matchweek 33,Sat,Home,D,3,3,Norwich City,,"25,754",,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005
33,2005-04-20,,Premier League,Matchweek 34,Wed,Away,L,0,1,Blackburn,,"18,006",,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005
34,2005-04-23,,Premier League,Matchweek 35,Sat,Home,W,1,0,Liverpool,,"26,043",,,Dermot Gallagher,Match Report,,2004-2005,2004-2005,2004-2005
35,2005-04-30,,Premier League,Matchweek 36,Sat,Away,D,0,0,Newcastle Utd,,"52,123",,,Alan Wiley,Match Report,,2004-2005,2004-2005,2004-2005
36,2005-05-07,,Premier League,Matchweek 37,Sat,Home,D,2,2,Southampton,,"26,066",,,Howard Webb,Match Report,,2004-2005,2004-2005,2004-2005
37,2005-05-15,,Premier League,Matchweek 38,Sun,Away,D,2,2,Charlton Ath,,"26,870",,,Mark Clattenburg,Match Report,,2004-2005,2004-2005,2004-2005
