,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2001-08-19,,Premier League,Matchweek 1,Sun,Away,L,2,3,Manchester Utd,,"67,534",,,Peter Jones,Match Report,,2001-2002,2001-2002,2001-2002
1,2001-08-22,,Premier League,Matchweek 2,Wed,Home,W,2,0,Sunderland,,"20,197",,,Mike Dean,Match Report,,2001-2002,2001-2002,2001-2002
2,2001-08-25,,Premier League,Matchweek 3,Sat,Home,D,0,0,Derby County,,"15,641",,,Mike Dean,Match Report,,2001-2002,2001-2002,2001-2002
3,2001-09-09,,Premier League,Matchweek 4,Sun,Away,D,1,1,Charlton Ath,,"20,451",,,Jeff Winter,Match Report,,2001-2002,2001-2002,2001-2002
4,2001-09-15,,Premier League,Matchweek 5,Sat,Home,L,1,3,Arsenal,,"20,805",,,Alan Wiley,Match Report,,2001-2002,2001-2002,2001-2002
5,2001-09-22,,Premier League,Matchweek 7,Sat,Away,D,0,0,Leicester City,,"18,918",,,Eddie Wolstenholme,Match Report,,2001-2002,2001-2002,2001-2002
6,2001-09-30,,Premier League,Matchweek 8,Sun,Home,D,1,1,Chelsea,,"20,197",,,Graham Poll,Match Report,,2001-2002,2001-2002,2001-2002
7,2001-10-14,,Premier League,Matchweek 9,Sun,Away,L,0,2,Aston Villa,,"28,579",,,Paul Durkin,Match Report,,2001-2002,2001-2002,2001-2002
8,2001-10-21,,Premier League,Matchweek 10,Sun,Home,D,1,1,Ipswich Town,,"17,221",,,Mike Riley,Match Report,,2001-2002,2001-2002,2001-2002
9,2001-10-27,,Premier League,Matchweek 11,Sat,Home,W,2,1,Southampton,,"18,771",,,Andy D'Urso,Match Report,,2001-2002,2001-2002,2001-2002
10,2001-11-03,,Premier League,Matchweek 12,Sat,Away,W,2,0,West Ham,,"26,217",,,Graham Barber,Match Report,,2001-2002,2001-2002,2001-2002
11,2001-11-17,,Premier League,Matchweek 13,Sat,Home,W,3,1,Newcastle Utd,,"21,159",,,Eddie Wolstenholme,Match Report,,2001-2002,2001-2002,2001-2002
12,2001-11-24,,Premier League,Matchweek 14,Sat,Away,D,0,0,Bolton,,"23,848",,,Mike Dean,Match Report,,2001-2002,2001-2002,2001-2002
13,2001-12-02,,Premier League,Matchweek 15,Sun,Home,D,0,0,Leeds United,,"20,918",,,Graham Poll,Match Report,,2001-2002,2001-2002,2001-2002
14,2001-12-08,,Premier League,Matchweek 16,Sat,Home,W,2,0,Everton,,"19,338",,,Phil Dowd,Match Report,,2001-2002,2001-2002,2001-2002
