,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
0,2000-08-19,,Premier League,Matchweek 1,Sat,Home,W,1,0,Bradford City,,44183,,,Paul Durkin,Match Report,,2000-2001,2000-2001,2000-2001,
1,2000-08-21,,Premier League,Matchweek 2,Mon,Away,L,0,2,Arsenal,,38014,,,Graham Poll,Match Report,,2000-2001,2000-2001,2000-2001,
2,2000-08-26,,Premier League,Matchweek 3,Sat,Away,D,3,3,Southampton,,15202,,,Jeff Winter,Match Report,,2000-2001,2000-2001,2000-2001,
3,2000-09-06,,Premier League,Matchweek 4,Wed,Home,W,3,1,Aston Villa,,43360,,,Neale Barry,Match Report,,2000-2001,2000-2001,2000-2001,
4,2000-09-09,,Premier League,Matchweek 5,Sat,Home,W,3,2,Manchester City,,44692,,,Graham Barber,Match Report,,2000-2001,2000-2001,2000-2001,
5,2000-09-14,,UEFA Cup,First round,Thu,Away,W,1,0,ro Rapid București,,,,,N Volquartz,Match Report,Leg 1 of 2,2000-2001,2000-2001,2000-2001,
6,2000-09-17,,Premier League,Matchweek 6,Sun,Away,D,1,1,West Ham,,25998,,,David Elleray,Match Report,,2000-2001,2000-2001,2000-2001,
7,2000-09-23,,Premier League,Matchweek 7,Sat,Home,D,1,1,Sunderland,,44713,,,Mike Riley,Match Report,,2000-2001,2000-2001,2000-2001,
8,2000-09-28,,UEFA Cup,First round,Thu,Home,D,0,0,ro Rapid București,,,,,Miroslav Liba,Match Report,Leg 2 of 2, Liverpool won,2000-2001,2000-2001,2000-2001
9,2000-10-01,,Premier League,Matchweek 8,Sun,Away,L,0,3,Chelsea,,34966,,,Dermot Gallagher,Match Report,,2000-2001,2000-2001,2000-2001,
10,2000-10-15,,Premier League,Matchweek 9,Sun,Away,W,4,0,Derby County,,30532,,,Stephen Bennett,Match Report,,2000-2001,2000-2001,2000-2001,
11,2000-10-21,,Premier League,Matchweek 10,Sat,Home,W,1,0,Leicester City,,44395,,,Andy D'Urso,Match Report,,2000-2001,2000-2001,2000-2001,
12,2000-10-26,,UEFA Cup,Second round,Thu,Home,W,1,0,cz Slovan Liberec,,,,,Massimo Busacca,Match Report,Leg 1 of 2,2000-2001,2000-2001,2000-2001,
13,2000-10-29,,Premier League,Matchweek 11,Sun,Home,W,3,1,Everton,,44718,,,Paul Durkin,Match Report,,2000-2001,2000-2001,2000-2001,
14,2000-11-04,,Premier League,Matchweek 12,Sat,Away,L,3,4,Leeds United,,40055,,,David Elleray,Match Report,,2000-2001,2000-2001,2000-2001,
15,2000-11-09,,UEFA Cup,Second round,Thu,Away,W,3,2,cz Slovan Liberec,,,,,Edgar Steinborn,Match Report,Leg 2 of 2, Liverpool won,2000-2001,2000-2001,2000-2001
16,2000-11-12,,Premier League,Matchweek 13,Sun,Home,W,4,1,Coventry City,,43701,,,Mike Riley,Match Report,,2000-2001,2000-2001,2000-2001,
17,2000-11-19,,Premier League,Matchweek 14,Sun,Away,L,1,2,Tottenham,,36036,,,Mark Halsey,Match Report,,2000-2001,2000-2001,2000-2001,
18,2000-11-23,,UEFA Cup,Third round,Thu,Away,D,2,2,gr Olympiacos,,,,,René Temmink,Match Report,Leg 1 of 2,2000-2001,2000-2001,2000-2001,
19,2000-11-26,,Premier League,Matchweek 15,Sun,Away,L,1,2,Newcastle Utd,,51949,,,Barry Knight,Match Report,,2000-2001,2000-2001,2000-2001,
20,2000-12-02,,Premier League,Matchweek 16,Sat,Home,W,3,0,Charlton Ath,,43515,,,Rob Styles,Match Report,,2000-2001,2000-2001,2000-2001,
21,2000-12-07,,UEFA Cup,Third round,Thu,Home,W,2,0,gr Olympiacos,,,,,Vítor Melo Pereira,Match Report,Leg 2 of 2, Liverpool won,2000-2001,2000-2001,2000-2001
22,2000-12-10,,Premier League,Matchweek 17,Sun,Home,L,0,1,Ipswich Town,,43509,,,Alan Wiley,Match Report,,2000-2001,2000-2001,2000-2001,
23,2000-12-17,,Premier League,Matchweek 18,Sun,Away,W,1,0,Manchester Utd,,67533,,,Mike Riley,Match Report,,2000-2001,2000-2001,2000-2001,
24,2000-12-23,,Premier League,Matchweek 19,Sat,Home,W,4,0,Arsenal,,44144,,,Paul Durkin,Match Report,,2000-2001,2000-2001,2000-2001,
25,2000-12-26,,Premier League,Matchweek 20,Tue,Away,L,0,1,Middlesbrough,,34696,,,Stephen Lodge,Match Report,,2000-2001,2000-2001,2000-2001,
26,2001-01-01,,Premier League,Matchweek 22,Mon,Home,W,2,1,Southampton,,38474,,,Dermot Gallagher,Match Report,,2000-2001,2000-2001,2000-2001,
27,2001-01-13,,Premier League,Matchweek 23,Sat,Away,W,3,0,Aston Villa,,41366,,,Graham Barber,Match Report,,2000-2001,2000-2001,2000-2001,
28,2001-01-20,,Premier League,Matchweek 24,Sat,Home,D,0,0,Middlesbrough,,43042,,,Steve Dunn,Match Report,,2000-2001,2000-2001,2000-2001,
29,2001-01-31,,Premier League,Matchweek 25,Wed,Away,D,1,1,Manchester City,,34629,,,Peter Jones,Match Report,,2000-2001,2000-2001,2000-2001,
30,2001-02-03,,Premier League,Matchweek 26,Sat,Home,W,3,0,West Ham,,44045,,,Stephen Bennett,Match Report,,2000-2001,2000-2001,2000-2001,
31,2001-02-10,,Premier League,Matchweek 27,Sat,Away,D,1,1,Sunderland,,47533,,,Graham Barber,Match Report,,2000-2001,2000-2001,2000-2001,
32,2001-02-15,,UEFA Cup,Fourth round,Thu,Away,W,2,0,it Roma,,,,,Markus Merk,Match Report,Leg 1 of 2,2000-2001,2000-2001,2000-2001,
33,2001-02-22,,UEFA Cup,Fourth round,Thu,Home,L,0,1,it Roma,,,,,García Aranda,Match Report,Leg 2 of 2, Liverpool won,2000-2001,2000-2001,2000-2001
34,2001-03-03,,Premier League,Matchweek 29,Sat,Away,L,0,2,Leicester City,,21924,,,Dermot Gallagher,Match Report,,2000-2001,2000-2001,2000-2001,
35,2001-03-08,,UEFA Cup,Quarter-finals,Thu,Away,D,0,0,pt Porto,,,,,Pierluigi Collina,Match Report,Leg 1 of 2,2000-2001,2000-2001,2000-2001,
36,2001-03-15,,UEFA Cup,Quarter-finals,Thu,Home,W,2,0,pt Porto,,,,,Kim Milton Nielsen,Match Report,Leg 2 of 2, Liverpool won,2000-2001,2000-2001,2000-2001
37,2001-03-18,,Premier League,Matchweek 30,Sun,Home,D,1,1,Derby County,,43362,,,Neale Barry,Match Report,,2000-2001,2000-2001,2000-2001,
38,2001-03-31,,Premier League,Matchweek 31,Sat,Home,W,2,0,Manchester Utd,,44806,,,Graham Poll,Match Report,,2000-2001,2000-2001,2000-2001,
39,2001-04-05,,UEFA Cup,Semi-finals,Thu,Away,D,0,0,es Barcelona,,,,,Hellmut Krug,Match Report,Leg 1 of 2,2000-2001,2000-2001,2000-2001,
40,2001-04-10,,Premier League,Matchweek 32,Tue,Away,D,1,1,Ipswich Town,,23504,,,Steve Dunn,Match Report,,2000-2001,2000-2001,2000-2001,
41,2001-04-13,,Premier League,Matchweek 33,Fri,Home,L,1,2,Leeds United,,44116,,,Alan Wiley,Match Report,,2000-2001,2000-2001,2000-2001,
42,2001-04-16,,Premier League,Matchweek 34,Mon,Away,W,3,2,Everton,,40260,,,Jeff Winter,Match Report,,2000-2001,2000-2001,2000-2001,
43,2001-04-19,,UEFA Cup,Semi-finals,Thu,Home,W,1,0,es Barcelona,,,,,Urs Meier,Match Report,Leg 2 of 2, Liverpool won,2000-2001,2000-2001,2000-2001
44,2001-04-22,,Premier League,Matchweek 35,Sun,Home,W,3,1,Tottenham,,43547,,,Barry Knight,Match Report,,2000-2001,2000-2001,2000-2001,
