,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2005-08-14,,Premier League,Matchweek 1,Sun,Away,L,0,2,Arsenal,,"38,072",,,Stephen Bennett,Match Report,,2005-2006,2005-2006,2005-2006
1,2005-08-20,,Premier League,Matchweek 2,Sat,Home,D,0,0,West Ham,,"51,644",,,Dermot Gallagher,Match Report,,2005-2006,2005-2006,2005-2006
2,2005-08-24,,Premier League,Matchweek 3,Wed,Away,L,0,2,Bolton,,"25,904",,,Rob Styles,Match Report,,2005-2006,2005-2006,2005-2006
3,2005-08-28,,Premier League,Matchweek 4,Sun,Home,L,0,2,Manchester Utd,,"52,327",,,Howard Webb,Match Report,,2005-2006,2005-2006,2005-2006
4,2005-09-10,,Premier League,Matchweek 5,Sat,Home,D,1,1,Fulham,,"52,208",,,Alan Wiley,Match Report,,2005-2006,2005-2006,2005-2006
5,2005-09-18,,Premier League,Matchweek 6,Sun,Away,W,3,0,Blackburn,,"20,725",,,Mike Riley,Match Report,,2005-2006,2005-2006,2005-2006
6,2005-09-24,,Premier League,Matchweek 7,Sat,Home,W,1,0,Manchester City,,"52,313",,,Graham Poll,Match Report,,2005-2006,2005-2006,2005-2006
7,2005-10-01,,Premier League,Matchweek 8,Sat,Away,D,0,0,Portsmouth,,"20,210",,,Stephen Bennett,Match Report,,2005-2006,2005-2006,2005-2006
8,2005-10-15,,Premier League,Matchweek 9,Sat,Away,L,0,1,Wigan Athletic,,"22,730",,,Phil Dowd,Match Report,,2005-2006,2005-2006,2005-2006
9,2005-10-23,,Premier League,Matchweek 10,Sun,Home,W,3,2,Sunderland,,"52,304",,,Rob Styles,Match Report,,2005-2006,2005-2006,2005-2006
10,2005-10-30,,Premier League,Matchweek 11,Sun,Away,W,3,0,West Brom,,"26,070",,,Howard Webb,Match Report,,2005-2006,2005-2006,2005-2006
11,2005-11-05,,Premier League,Matchweek 12,Sat,Home,W,1,0,Birmingham City,,"52,327",,,Mike Dean,Match Report,,2005-2006,2005-2006,2005-2006
12,2005-11-19,,Premier League,Matchweek 13,Sat,Away,L,0,3,Chelsea,,"42,198",,,Mark Halsey,Match Report,,2005-2006,2005-2006,2005-2006
13,2005-11-27,,Premier League,Matchweek 14,Sun,Away,L,0,1,Everton,,"36,207",,,Howard Webb,Match Report,,2005-2006,2005-2006,2005-2006
14,2005-12-03,,Premier League,Matchweek 15,Sat,Home,D,1,1,Aston Villa,,"52,269",,,Alan Wiley,Match Report,,2005-2006,2005-2006,2005-2006
15,2005-12-10,,Premier League,Matchweek 16,Sat,Home,W,1,0,Arsenal,,"52,303",,,Dermot Gallagher,Match Report,,2005-2006,2005-2006,2005-2006
16,2005-12-17,,Premier League,Matchweek 17,Sat,Away,W,4,2,West Ham,,"34,481",,,Phil Dowd,Match Report,,2005-2006,2005-2006,2005-2006
17,2005-12-26,,Premier League,Matchweek 18,Mon,Away,L,0,2,Liverpool,,"45,103",,,Mark Halsey,Match Report,,2005-2006,2005-2006,2005-2006
18,2005-12-31,,Premier League,Matchweek 20,Sat,Away,L,0,2,Tottenham,,"36,246",,,Howard Webb,Match Report,,2005-2006,2005-2006,2005-2006
19,2006-01-02,,Premier League,Matchweek 21,Mon,Home,D,2,2,Middlesbrough,,"52,302",,,Stephen Bennett,Match Report,,2005-2006,2005-2006,2005-2006
20,2006-01-14,,Premier League,Matchweek 22,Sat,Away,L,0,1,Fulham,,"21,972",,,Alan Wiley,Match Report,,2005-2006,2005-2006,2005-2006
21,2006-01-21,,Premier League,Matchweek 23,Sat,Home,L,0,1,Blackburn,,"51,782",,,Howard Webb,Match Report,,2005-2006,2005-2006,2005-2006
22,2006-02-01,,Premier League,Matchweek 24,Wed,Away,L,0,3,Manchester City,,"42,413",,,Chris Foy,Match Report,,2005-2006,2005-2006,2005-2006
23,2006-02-04,,Premier League,Matchweek 25,Sat,Home,W,2,0,Portsmouth,,"51,724",,,Mark Halsey,Match Report,,2005-2006,2005-2006,2005-2006
24,2006-02-11,,Premier League,Matchweek 26,Sat,Away,W,2,1,Aston Villa,,"37,140",,,Mike Riley,Match Report,,2005-2006,2005-2006,2005-2006
25,2006-02-22,,Premier League,Matchweek 19,Wed,Home,D,0,0,Charlton Ath,,"51,545",,,Mike Dean,Match Report,,2005-2006,2005-2006,2005-2006
26,2006-02-25,,Premier League,Matchweek 27,Sat,Home,W,2,0,Everton,,"51,916",,,Graham Poll,Match Report,,2005-2006,2005-2006,2005-2006
27,2006-03-04,,Premier League,Matchweek 28,Sat,Home,W,3,1,Bolton,,"52,046",,,Alan Wiley,Match Report,,2005-2006,2005-2006,2005-2006
28,2006-03-12,,Premier League,Matchweek 29,Sun,Away,L,0,2,Manchester Utd,,"67,858",,,Rob Styles,Match Report,,2005-2006,2005-2006,2005-2006
29,2006-03-19,,Premier League,Matchweek 30,Sun,Home,L,1,3,Liverpool,,"52,306",,,Mike Riley,Match Report,,2005-2006,2005-2006,2005-2006
