,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2005-08-28,,La Liga,Matchweek 1,Sun,Away,W,2,1,Cádiz,,,,,Pérez Lasa,Match Report,,2005-2006,2005-2006,2005-2006
1,2005-09-10,,La Liga,Matchweek 2,Sat,Home,L,2,3,Celta Vigo,,,,,Ramírez Domínguez,Match Report,,2005-2006,2005-2006,2005-2006
2,2005-09-13,,Champions Lg,Group stage,Tue,Away,L,0,3,fr Lyon,,,,,Massimo De Santis,Match Report,,2005-2006,2005-2006,2005-2006
3,2005-09-18,,La Liga,Matchweek 3,Sun,Away,L,0,1,Espanyol,,,,,Rodríguez Santiago,Match Report,,2005-2006,2005-2006,2005-2006
4,2005-09-22,,La Liga,Matchweek 4,Thu,Home,W,3,1,Athletic Club,,,,,Undiano Mallenco,Match Report,,2005-2006,2005-2006,2005-2006
5,2005-09-25,,La Liga,Matchweek 5,Sun,Away,W,3,0,Alavés,,,,,Mejuto González,Match Report,,2005-2006,2005-2006,2005-2006
6,2005-09-28,,Champions Lg,Group stage,Wed,Home,W,2,1,gr Olympiacos,,,,,Markus Merk,Match Report,,2005-2006,2005-2006,2005-2006
7,2005-10-02,,La Liga,Matchweek 6,Sun,Home,W,4,0,Mallorca,,,,,Medina Cantalejo,Match Report,,2005-2006,2005-2006,2005-2006
8,2005-10-15,,La Liga,Matchweek 7,Sat,Away,W,3,0,Atlético Madrid,,,,,González Vázquez,Match Report,,2005-2006,2005-2006,2005-2006
9,2005-10-19,,Champions Lg,Group stage,Wed,Home,W,4,1,no Rosenborg,,,,,Stephen Bennett,Match Report,,2005-2006,2005-2006,2005-2006
10,2005-10-23,,La Liga,Matchweek 8,Sun,Home,L,1,2,Valencia,,,,,Daudén Ibáñez,Match Report,,2005-2006,2005-2006,2005-2006
11,2005-10-26,,La Liga,Matchweek 11,Wed,Away,L,1,3,La Coruña,,,,,Fernández Borbalán,Match Report,,2005-2006,2005-2006,2005-2006
12,2005-10-29,,La Liga,Matchweek 9,Sat,Away,W,2,0,Betis,,,,,Pérez Burrull,Match Report,,2005-2006,2005-2006,2005-2006
13,2005-11-01,,Champions Lg,Group stage,Tue,Away,W,2,0,no Rosenborg,,,,,Wolfgang Stark,Match Report,,2005-2006,2005-2006,2005-2006
14,2005-11-06,,La Liga,Matchweek 10,Sun,Home,W,1,0,Zaragoza,,,,,Muñiz Fernández,Match Report,,2005-2006,2005-2006,2005-2006
15,2005-11-19,,La Liga,Matchweek 12,Sat,Home,L,0,3,Barcelona,,,,,Iturralde González,Match Report,,2005-2006,2005-2006,2005-2006
16,2005-11-23,,Champions Lg,Group stage,Wed,Home,D,1,1,fr Lyon,,,,,Frank de Bleeckere,Match Report,,2005-2006,2005-2006,2005-2006
17,2005-11-27,,La Liga,Matchweek 13,Sun,Away,D,2,2,Real Sociedad,,,,,Undiano Mallenco,Match Report,,2005-2006,2005-2006,2005-2006
18,2005-12-03,,La Liga,Matchweek 14,Sat,Home,W,1,0,Getafe,,,,,Teixeira Vitienes,Match Report,,2005-2006,2005-2006,2005-2006
19,2005-12-06,,Champions Lg,Group stage,Tue,Away,L,1,2,gr Olympiacos,,,,,Kim Milton Nielsen,Match Report,,2005-2006,2005-2006,2005-2006
20,2005-12-11,,La Liga,Matchweek 15,Sun,Away,W,2,0,Málaga,,,,,Daudén Ibáñez,Match Report,,2005-2006,2005-2006,2005-2006
