,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,2015-08-08,12:45 ,Premier League,Matchweek 1,Sat,Away,L,0,1,Manchester Utd,50,"75,261",Jan Vertonghen,4-2-3-1,Jonathan Moss,Match Report,,2015-2016,2015-2016,2015-2016,,
1,2015-08-15,15:00 ,Premier League,Matchweek 2,Sat,Home,D,2,2,Stoke City,53,"36,004",Hugo Lloris,4-2-3-1,Robert Madley,Match Report,,2015-2016,2015-2016,2015-2016,,
2,2015-08-22,15:00 ,Premier League,Matchweek 3,Sat,Away,D,1,1,Leicester City,65,"31,971",Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,,2015-2016,2015-2016,2015-2016,,
3,2015-08-29,17:30 ,Premier League,Matchweek 4,Sat,Home,D,0,0,Everton,50,"35,865",Hugo Lloris,4-2-3-1,Mike Jones,Match Report,,2015-2016,2015-2016,2015-2016,,
4,2015-09-13,13:30 ,Premier League,Matchweek 5,Sun,Away,W,1,0,Sunderland,56,"40,303",Hugo Lloris,4-2-3-1,Craig Pawson,Match Report,,2015-2016,2015-2016,2015-2016,,
5,2015-09-17,20:05 ,Europa Lg,Group stage,Thu,Home,W,3,1,az Qarabağ,53,"26,463",Hugo Lloris,4-2-3-1,Adrien Jaccottet,Match Report,,2015-2016,2015-2016,2015-2016,,
6,2015-09-20,13:30 ,Premier League,Matchweek 6,Sun,Home,W,1,0,Crystal Palace,57,"35,723",Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,,2015-2016,2015-2016,2015-2016,,
7,2015-09-23,19:45 ,League Cup,Third round,Wed,Home,L,1,2,Arsenal,,"35,687",,,Andre Marriner,Match Report,,2015-2016,2015-2016,2015-2016,,
8,2015-09-26,12:45 ,Premier League,Matchweek 7,Sat,Home,W,4,1,Manchester City,46,"35,867",Hugo Lloris,4-2-3-1,Mark Clattenburg,Match Report,,2015-2016,2015-2016,2015-2016,,
9,2015-10-01,19:00 ,Europa Lg,Group stage,Thu,Away,D,1,1,fr Monaco,50,"7,216",Hugo Lloris,4-2-3-1,Artur Soares Dias,Match Report,,2015-2016,2015-2016,2015-2016,,
10,2015-10-04,16:00 ,Premier League,Matchweek 8,Sun,Away,D,2,2,Swansea City,54,"20,845",Hugo Lloris,4-2-3-1,Mike Dean,Match Report,,2015-2016,2015-2016,2015-2016,,
11,2015-10-17,12:45 ,Premier League,Matchweek 9,Sat,Home,D,0,0,Liverpool,49,"35,926",Hugo Lloris,4-2-3-1,Craig Pawson,Match Report,,2015-2016,2015-2016,2015-2016,,
12,2015-10-22,19:00 ,Europa Lg,Group stage,Thu,Away,L,1,2,be Anderlecht,64,"18,504",Hugo Lloris,4-2-3-1,Pol van Boekel,Match Report,,2015-2016,2015-2016,2015-2016,,
13,2015-10-25,14:05 ,Premier League,Matchweek 10,Sun,Away,W,5,1,Bournemouth,54,"11,332",Hugo Lloris,4-2-3-1,Roger East,Match Report,,2015-2016,2015-2016,2015-2016,,
14,2015-11-02,20:00 ,Premier League,Matchweek 11,Mon,Home,W,3,1,Aston Villa,61,"34,882",Hugo Lloris,4-2-3-1,Mike Dean,Match Report,,2015-2016,2015-2016,2015-2016,,
15,2015-11-05,20:05 ,Europa Lg,Group stage,Thu,Home,W,2,1,be Anderlecht,54,"33,479",Hugo Lloris,4-2-3-1,Orel Grinfeeld,Match Report,,2015-2016,2015-2016,2015-2016,,
16,2015-11-08,16:00 ,Premier League,Matchweek 12,Sun,Away,D,1,1,Arsenal,45,"60,060",Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,,2015-2016,2015-2016,2015-2016,,
17,2015-11-22,16:00 ,Premier League,Matchweek 13,Sun,Home,W,4,1,West Ham,56,"35,968",Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,,2015-2016,2015-2016,2015-2016,,
18,2015-11-26,22:00 ,Europa Lg,Group stage,Thu,Away,W,1,0,az Qarabağ,61,"28,000",Hugo Lloris,4-2-3-1,Tasos Sidiropoulos,Match Report,,2015-2016,2015-2016,2015-2016,,
19,2015-11-29,12:00 ,Premier League,Matchweek 14,Sun,Home,D,0,0,Chelsea,58,"35,639",Hugo Lloris,4-3-2-1,Michael Oliver,Match Report,,2015-2016,2015-2016,2015-2016,,
20,2015-12-05,15:00 ,Premier League,Matchweek 15,Sat,Away,D,1,1,West Brom,65,"23,602",Hugo Lloris,4-2-3-1,Jonathan Moss,Match Report,,2015-2016,2015-2016,2015-2016,,
21,2015-12-10,20:05 ,Europa Lg,Group stage,Thu,Home,W,4,1,fr Monaco,58,"34,122",Hugo Lloris,4-2-3-1,Ivan Bebek,Match Report,,2015-2016,2015-2016,2015-2016,,
22,2015-12-13,16:00 ,Premier League,Matchweek 16,Sun,Home,L,1,2,Newcastle Utd,58,"35,768",Hugo Lloris,4-2-3-1,Roger East,Match Report,,2015-2016,2015-2016,2015-2016,,
23,2015-12-19,15:00 ,Premier League,Matchweek 17,Sat,Away,W,2,0,Southampton,49,"31,636",Hugo Lloris,4-2-3-1,Kevin Friend,Match Report,,2015-2016,2015-2016,2015-2016,,
24,2015-12-26,15:00 ,Premier League,Matchweek 18,Sat,Home,W,3,0,Norwich City,60,"35,198",Hugo Lloris,4-2-3-1,Mike Jones,Match Report,,2015-2016,2015-2016,2015-2016,,
