,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2000-08-19,,Premier League,Matchweek 1,Sat,Away,L,2,4,Chelsea,,"34,914",,,Graham Barber,Match Report,,2000-2001,2000-2001,2000-2001
1,2000-08-23,,Premier League,Matchweek 2,Wed,Home,L,0,1,Leicester City,,"25,195",,,Rob Styles,Match Report,,2000-2001,2000-2001,2000-2001
2,2000-08-26,,Premier League,Matchweek 3,Sat,Home,D,2,2,Manchester Utd,,"25,988",,,Dermot Gallagher,Match Report,,2000-2001,2000-2001,2000-2001
3,2000-09-05,,Premier League,Matchweek 4,Tue,Away,D,1,1,Sunderland,,"46,605",,,Peter Jones,Match Report,,2000-2001,2000-2001,2000-2001
4,2000-09-11,,Premier League,Matchweek 5,Mon,Away,L,0,1,Tottenham,,"33,282",,,Steve Dunn,Match Report,,2000-2001,2000-2001,2000-2001
5,2000-09-17,,Premier League,Matchweek 6,Sun,Home,D,1,1,Liverpool,,"25,998",,,David Elleray,Match Report,,2000-2001,2000-2001,2000-2001
6,2000-09-23,,Premier League,Matchweek 7,Sat,Away,W,3,0,Coventry City,,"21,020",,,Neale Barry,Match Report,,2000-2001,2000-2001,2000-2001
7,2000-09-30,,Premier League,Matchweek 8,Sat,Home,D,1,1,Bradford City,,"25,407",,,Mike Dean,Match Report,,2000-2001,2000-2001,2000-2001
8,2000-10-14,,Premier League,Matchweek 9,Sat,Away,D,1,1,Ipswich Town,,"22,243",,,Neale Barry,Match Report,,2000-2001,2000-2001,2000-2001
9,2000-10-21,,Premier League,Matchweek 10,Sat,Home,L,1,2,Arsenal,,"26,034",,,Dermot Gallagher,Match Report,,2000-2001,2000-2001,2000-2001
10,2000-10-28,,Premier League,Matchweek 11,Sat,Home,W,1,0,Newcastle Utd,,"26,044",,,Mike Riley,Match Report,,2000-2001,2000-2001,2000-2001
11,2000-11-06,,Premier League,Matchweek 12,Mon,Away,D,0,0,Derby County,,"24,621",,,Paul Durkin,Match Report,,2000-2001,2000-2001,2000-2001
12,2000-11-11,,Premier League,Matchweek 13,Sat,Home,W,4,1,Manchester City,,"26,022",,,Jeff Winter,Match Report,,2000-2001,2000-2001,2000-2001
13,2000-11-18,,Premier League,Matchweek 14,Sat,Away,W,1,0,Leeds United,,"40,005",,,Paul Taylor,Match Report,,2000-2001,2000-2001,2000-2001
14,2000-11-25,,Premier League,Matchweek 15,Sat,Away,W,3,2,Southampton,,"15,232",,,Stephen Bennett,Match Report,,2000-2001,2000-2001,2000-2001
15,2000-12-02,,Premier League,Matchweek 16,Sat,Home,W,1,0,Middlesbrough,,"25,459",,,Andy D'Urso,Match Report,,2000-2001,2000-2001,2000-2001
16,2000-12-09,,Premier League,Matchweek 17,Sat,Home,D,1,1,Aston Villa,,"25,888",,,Mike Riley,Match Report,,2000-2001,2000-2001,2000-2001
17,2000-12-16,,Premier League,Matchweek 18,Sat,Away,D,1,1,Everton,,"31,260",,,Clive Wilkes,Match Report,,2000-2001,2000-2001,2000-2001
18,2000-12-23,,Premier League,Matchweek 19,Sat,Away,L,1,2,Leicester City,,"21,524",,,Graham Poll,Match Report,,2000-2001,2000-2001,2000-2001
19,2000-12-26,,Premier League,Matchweek 20,Tue,Home,W,5,0,Charlton Ath,,"26,046",,,Steve Dunn,Match Report,,2000-2001,2000-2001,2000-2001
20,2001-01-01,,Premier League,Matchweek 22,Mon,Away,L,1,3,Manchester Utd,,"67,603",,,Peter Jones,Match Report,,2000-2001,2000-2001,2000-2001
21,2001-01-13,,Premier League,Matchweek 23,Sat,Home,L,0,2,Sunderland,,"26,014",,,Matt Messias,Match Report,,2000-2001,2000-2001,2000-2001
22,2001-01-22,,Premier League,Matchweek 24,Mon,Away,D,1,1,Charlton Ath,,"20,043",,,Dermot Gallagher,Match Report,,2000-2001,2000-2001,2000-2001
23,2001-01-31,,Premier League,Matchweek 25,Wed,Home,D,0,0,Tottenham,,"26,048",,,Neale Barry,Match Report,,2000-2001,2000-2001,2000-2001
24,2001-02-03,,Premier League,Matchweek 26,Sat,Away,L,0,3,Liverpool,,"44,045",,,Stephen Bennett,Match Report,,2000-2001,2000-2001,2000-2001
25,2001-02-12,,Premier League,Matchweek 27,Mon,Home,D,1,1,Coventry City,,"22,586",,,Dermot Gallagher,Match Report,,2000-2001,2000-2001,2000-2001
26,2001-02-24,,Premier League,Matchweek 28,Sat,Away,W,2,1,Bradford City,,"20,469",,,Stephen Lodge,Match Report,,2000-2001,2000-2001,2000-2001
27,2001-03-03,,Premier League,Matchweek 29,Sat,Away,L,0,3,Arsenal,,"38,071",,,Mike Riley,Match Report,,2000-2001,2000-2001,2000-2001
28,2001-03-07,,Premier League,Matchweek 21,Wed,Home,L,0,2,Chelsea,,"26,016",,,Alan Wiley,Match Report,,2000-2001,2000-2001,2000-2001
29,2001-03-17,,Premier League,Matchweek 30,Sat,Home,L,0,1,Ipswich Town,,"26,046",,,Mike Dean,Match Report,,2000-2001,2000-2001,2000-2001
30,2001-03-31,,Premier League,Matchweek 31,Sat,Home,L,0,2,Everton,,"26,044",,,Andy D'Urso,Match Report,,2000-2001,2000-2001,2000-2001
31,2001-04-07,,Premier League,Matchweek 32,Sat,Away,D,2,2,Aston Villa,,"31,432",,,Rob Harris,Match Report,,2000-2001,2000-2001,2000-2001
32,2001-04-14,,Premier League,Matchweek 33,Sat,Home,W,3,1,Derby County,,"35,319",,,Rob Styles,Match Report,,2000-2001,2000-2001,2000-2001
33,2001-04-16,,Premier League,Matchweek 34,Mon,Away,L,1,2,Newcastle Utd,,"51,107",,,Paul Durkin,Match Report,,2000-2001,2000-2001,2000-2001
34,2001-04-21,,Premier League,Matchweek 35,Sat,Home,L,0,2,Leeds United,,"26,041",,,Graham Poll,Match Report,,2000-2001,2000-2001,2000-2001
35,2001-04-28,,Premier League,Matchweek 36,Sat,Away,L,0,1,Manchester City,,"33,737",,,Peter Jones,Match Report,,2000-2001,2000-2001,2000-2001
